#ZVView-data-copy:  13-Dec-2012 09:14:57
#=======================================
#
#name:   ENDF/B-VII.1: IR-193(N,TOT)
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  11189
#data...
#            X            Y
#          MeV        barns
         1e-11      5476.99
   1.10304e-11      5215.06
   1.11082e-11      5197.96
   1.21669e-11      4965.67
   1.23386e-11       4933.1
   1.34205e-11      4728.22
   1.37059e-11       4681.5
   1.48034e-11      4502.14
    1.5224e-11      4442.71
   1.63287e-11      4286.87
   1.69111e-11      4215.85
   1.80111e-11      4081.92
   1.87842e-11      4000.55
   1.98669e-11      3886.78
   2.08659e-11      3796.03
   2.19139e-11      3700.98
    2.3177e-11      3601.96
   2.41719e-11      3524.09
   2.57455e-11      3417.62
   2.66625e-11      3355.66
   2.85971e-11      3242.69
   2.94097e-11      3195.31
   3.17662e-11      3076.54
     3.244e-11      3042.63
   3.52847e-11       2918.9
   3.57825e-11      2897.27
   3.91949e-11      2769.17
   3.94694e-11      2758.88
   4.35362e-11      2627.12
   4.80221e-11      2501.69
   4.83608e-11       2493.5
   5.29701e-11      2382.28
   5.40964e-11      2358.79
    5.8428e-11      2268.59
   6.05121e-11      2231.08
   6.44483e-11      2160.35
   6.76888e-11      2110.02
   7.10888e-11      2057.29
   7.57166e-11      1995.27
   7.84136e-11      1959.18
   8.46965e-11      1886.53
   8.64931e-11      1865.78
   9.47414e-11      1783.47
   9.54051e-11      1776.86
   1.05235e-10      1692.21
    1.0672e-10      1681.16
   1.16078e-10      1611.64
   1.20219e-10      1585.05
   1.28039e-10      1534.93
   1.35419e-10      1494.05
   1.41232e-10       1461.9
   1.53616e-10      1402.72
   1.55784e-10      1392.37
   1.71835e-10      1326.19
   1.74259e-10      1317.56
    1.8954e-10      1263.21
   1.99071e-10      1233.92
    2.0907e-10      1203.24
   2.29008e-10      1150.39
   2.30612e-10      1146.14
   2.54374e-10      1091.81
   2.63447e-10      1073.88
   2.80583e-10      1040.09
   3.05188e-10      998.163
   3.09494e-10      990.837
   3.41383e-10      943.973
   3.56037e-10      925.369
   3.76558e-10      899.359
   4.15358e-10      856.881
   4.21218e-10      851.339
   4.58155e-10      816.464
   5.01847e-10      780.832
   5.05362e-10       777.97
   5.57433e-10      741.351
   6.06315e-10       711.66
   6.14869e-10      706.472
   6.78223e-10      673.291
   7.48105e-10      641.683
   8.25188e-10      611.621
   9.10213e-10      582.987
    9.4268e-10      573.544
      1.004e-9      555.739
    1.10745e-9      529.802
    1.22156e-9      505.098
    1.34742e-9      481.606
    1.48625e-9      459.234
    1.63939e-9      437.927
    1.80831e-9      417.668
    1.99463e-9      398.376
    2.20015e-9      380.006
    2.31078e-9      371.469
    2.42685e-9      362.526
    2.67691e-9      345.897
    2.95273e-9      330.065
    3.25697e-9      314.992
    3.49329e-9      304.887
    3.59256e-9      300.649
    3.96272e-9      287.012
    4.37103e-9      274.034
    4.82141e-9      261.682
    5.31819e-9      249.927
    5.86616e-9      238.738
    5.90754e-9      238.009
    6.47059e-9      228.106
     7.1373e-9       217.99
    7.87271e-9      208.365
    8.68389e-9      199.205
    9.57865e-9      190.484
    1.05656e-8      182.184
    1.16543e-8      174.288
    1.19854e-8      172.217
    1.28551e-8      166.789
    1.41796e-8       159.67
    1.56406e-8       152.91
    1.73739e-8      146.036
    1.92983e-8      139.523
    2.12867e-8      133.754
    2.34801e-8      128.277
    2.52419e-8      124.417
       2.53e-8      124.297
    2.81037e-8      118.964
    3.12166e-8      113.929
    3.46759e-8      109.174
    3.85167e-8      104.687
    4.27851e-8      100.451
    4.75241e-8       96.474
    5.27906e-8       92.739
    5.86379e-8      89.2139
     6.5136e-8      85.9005
    7.23507e-8      82.8009
    8.03684e-8      79.9056
    8.92703e-8       77.212
     9.9163e-8      74.7263
    1.10924e-7       72.279
     1.2321e-7      70.1694
    1.37823e-7      68.1292
    1.54168e-7      66.3092
    1.72452e-7      64.7156
    1.91563e-7       63.456
    2.14282e-7      62.3342
    2.38017e-7      61.5293
    2.64393e-7       60.994
    2.93678e-7      60.7676
    3.23938e-7      60.8924
    3.25231e-7       60.897
    3.58742e-7      61.3944
    3.92953e-7      62.2799
    4.27411e-7      63.5504
    4.61635e-7      65.1994
     4.8292e-7      66.4775
    4.95132e-7      67.2023
    5.27364e-7      69.5224
    5.57761e-7       72.118
    5.85777e-7      74.9062
    6.08493e-7       77.527
     6.1523e-7      78.2987
    6.41639e-7      81.7905
    6.64494e-7      85.2212
    6.88196e-7      89.2315
    7.09876e-7      93.3954
    7.12709e-7      93.9367
    7.32961e-7      98.3182
    7.53788e-7      103.382
    7.75208e-7      109.252
     7.9169e-7      114.298
    7.94067e-7      115.103
    8.08483e-7      119.967
    8.25673e-7      126.415
    8.43187e-7      133.754
    8.61115e-7      142.182
      8.637e-7      143.529
    8.73263e-7      148.497
    8.85583e-7      155.484
    8.98077e-7      163.244
    9.10748e-7      171.891
    9.23597e-7      181.563
    9.26369e-7      183.876
    9.36627e-7      192.419
    9.49841e-7      204.676
    9.63242e-7      218.594
     9.7341e-7      230.305
    9.83674e-7      243.274
    9.86675e-7      247.452
    9.94082e-7      257.758
